,water_depth,latitude,longitude,distance_to_shore,timezone,jurisdiction
133,3018.3882,35.9284,-122.435,63568.348,-8,Federal
134,1922.8905,35.9231,-122.127,44507.996,-8,Federal
135,3765.4163,35.9314,-123.67,164340.45,-8,Federal
136,3612.2673,35.9316,-123.016,108407.15,-8,Federal
137,3929.918,35.932,-123.977,191189.02,-8,Federal
138,3439.1677,35.9343,-122.581,73623.51,-8,Federal
139,3944.5706,35.9303,-124.176,208750.94,-8,Federal
140,1144.9232,35.9343,-121.868,27960.29,-8,Federal
141,947.7144,35.9337,-121.741,18060.81,-8,Federal
142,3935.4312,35.9333,-123.998,193002.19,-8,Federal
143,3917.9868,35.9418,-123.942,187866.48,-8,Federal
144,3885.772,35.9304,-123.855,180527.5,-8,Federal
145,3582.4714,35.934,-123.405,141304.7,-8,Federal
146,3549.0186,35.9404,-122.793,89748.76,-8,Federal
147,3675.3386,35.9478,-123.593,157158.5,-8,Federal
148,3850.3423,35.9398,-123.776,173358.61,-8,Federal
149,1309.6552,35.938,-121.972,35802.953,-8,Federal
150,3602.2656,35.9509,-123.187,122041.984,-8,Federal
151,3937.5337,35.9471,-124.188,209425.03,-8,Federal
152,1792.7012,35.9408,-122.198,47105.457,-8,Federal
153,1192.3186,35.9454,-121.894,29284.723,-8,Federal
154,2293.8008,35.9366,-122.27,52093.953,-8,Federal
155,3962.7812,35.9501,-124.237,213141.23,-8,Federal
156,1672.2002,35.9467,-122.103,41112.383,-8,Federal
157,3696.1184,35.9556,-123.617,159027.78,-8,Federal
158,3303.0159,35.9451,-122.518,68288.97,-8,Federal
159,3227.6023,35.9583,-122.483,64874.36,-8,Federal
160,4230.4653,35.948,-124.818,252195.16,-8,Federal
161,3551.8474,35.9581,-122.761,86284.48,-8,Federal
162,514.4348,35.9515,-121.597,7936.7764,-8,Federal
163,4128.396,35.9569,-124.435,227100.95,-8,Federal
164,1085.2487,35.9535,-121.792,20919.557,-8,Federal
165,4315.3984,35.956,-124.855,253633.36,-8,Federal
166,3602.0554,35.9478,-122.941,101477.94,-8,Federal
167,1275.4326,35.9571,-121.949,32997.957,-8,Federal
168,3591.6543,35.9575,-122.885,96419.01,-8,Federal
169,3696.1184,35.9556,-123.617,159027.78,-8,Federal
170,4276.5645,35.9526,-124.741,247462.9,-8,Federal
171,3527.2217,35.9594,-123.373,137717.45,-8,Federal
172,3866.1184,35.9647,-123.805,175252.25,-8,Federal
173,1576.4685,35.9647,-122.098,39259.547,-8,Federal
174,288.8941,35.9603,-121.526,3621.1016,-8,California
175,1576.4685,35.9647,-122.098,39259.547,-8,Federal
176,2103.5662,35.9566,-122.267,50435.188,-8,Federal
177,4275.9575,35.959,-124.72,245738.61,-8,Federal
178,1025.0,35.9644,-121.766,18284.951,-8,Federal
179,3764.4512,35.9671,-123.682,164398.08,-8,Federal
180,3592.9565,35.9656,-123.457,144805.17,-8,Federal
181,1037.2024,35.9661,-121.769,18423.346,-8,Federal
182,4390.204,35.9636,-124.891,255083.95,-8,Federal
183,3944.5679,35.9671,-124.132,204032.62,-8,Federal
184,3937.2126,35.9637,-124.176,207998.88,-8,Federal
185,3604.5562,35.9681,-122.971,103114.24,-8,Federal
186,3790.3215,35.9766,-123.706,166256.58,-8,Federal
187,1757.4752,35.9762,-122.263,48778.277,-8,Federal
188,4213.441,35.9853,-124.829,249634.88,-8,Federal
189,3902.7908,35.9816,-123.917,184712.3,-8,Federal
190,1375.7792,35.9781,-121.996,32759.244,-8,Federal
191,3551.9873,35.9786,-122.935,99666.58,-8,Federal
192,1710.9183,35.9807,-122.243,47061.21,-8,Federal
193,1375.7792,35.9781,-121.996,32759.244,-8,Federal
194,3518.8057,35.9769,-123.38,137780.08,-8,Federal
195,4324.4004,35.9711,-124.871,253280.8,-8,Federal
196,3563.1418,35.9723,-122.851,92949.79,-8,Federal
197,3373.5696,35.9805,-122.607,72880.49,-8,Federal
198,4280.8076,35.9934,-124.867,251164.47,-8,Federal
199,1541.9817,35.9873,-122.146,40134.1,-8,Federal
200,48.1284,35.9834,-121.511,1419.544,-8,California
201,1585.2847,35.982,-122.166,41814.168,-8,Federal
202,4260.768,35.9908,-124.591,235920.36,-8,Federal
203,2839.1003,35.9971,-122.403,56517.01,-8,Federal
204,3308.327,35.9934,-122.572,69432.03,-8,Federal
205,3588.612,35.9932,-123.447,143138.47,-8,Federal
206,3607.817,35.9926,-123.487,146649.12,-8,Federal
207,3547.2532,35.9895,-122.839,91198.91,-8,Federal
208,4220.273,35.999,-124.521,230937.56,-8,Federal
209,4280.8076,35.9934,-124.867,251164.47,-8,Federal
210,771.637,35.9949,-121.681,10005.969,-8,Federal
211,3567.5298,35.9893,-123.001,104807.58,-8,Federal
212,4431.715,35.9934,-124.924,254540.11,-8,Federal
213,1570.4458,36.0031,-122.216,43604.336,-8,Federal
214,3825.7124,36.0039,-123.736,168232.55,-8,Federal
215,3923.2751,35.997,-123.994,191180.81,-8,Federal
216,3557.128,35.9901,-122.819,89514.67,-8,Federal
217,1986.3589,36.0068,-122.296,48427.863,-8,Federal
218,4244.172,36.0023,-124.628,236883.2,-8,Federal
219,4117.262,36.0065,-124.377,219668.58,-8,Federal
220,3494.3574,36.005,-122.888,94652.55,-8,Federal
221,1574.0902,35.9984,-122.237,45368.277,-8,Federal
222,3342.9512,36.0098,-122.582,69324.234,-8,Federal
223,3554.3086,36.0104,-123.09,111658.67,-8,Federal
224,3959.9316,36.0132,-124.212,207120.55,-8,Federal
225,4266.867,36.0152,-124.862,249038.23,-8,Federal
226,3354.0188,36.0111,-122.603,70925.4,-8,Federal
227,3587.3757,36.0083,-123.149,116810.02,-8,Federal
228,2737.4434,36.0215,-122.333,49878.07,-8,Federal
229,476.6661,36.0137,-121.642,5944.004,-8,Federal
230,3342.9512,36.0098,-122.582,69324.234,-8,Federal
231,3913.6404,36.0117,-123.957,187598.22,-8,Federal
232,4253.422,36.0232,-124.702,239134.83,-8,Federal
233,3959.9316,36.0132,-124.212,207120.55,-8,Federal
234,4113.498,36.0226,-124.39,219634.9,-8,Federal
235,3027.5583,36.0257,-122.444,57719.17,-8,Federal
236,1861.2,36.023,-122.287,46615.58,-8,Federal
237,13.096,36.0141,-121.543,202.78577,-8,California
238,1133.1353,36.0192,-121.89,24355.273,-8,Federal
239,1630.655,36.0214,-122.211,41903.547,-8,Federal
240,1861.2,36.023,-122.287,46615.58,-8,Federal
241,1532.8743,36.0239,-122.136,36636.652,-8,Federal
242,4105.9585,36.0225,-124.365,217774.06,-8,Federal
243,4240.6426,36.0221,-124.62,234695.45,-8,Federal
244,1026.6732,36.0248,-121.812,18659.145,-8,Federal
245,848.0578,36.0268,-121.736,12414.907,-8,Federal
246,3906.7463,36.0304,-123.949,186515.86,-8,Federal
247,3860.616,36.0194,-123.825,175750.31,-8,Federal
248,3776.6035,36.0207,-123.7,164673.58,-8,Federal
249,3499.3486,36.0215,-122.895,94605.41,-8,Federal
250,3513.8528,36.025,-122.857,91254.84,-8,Federal
251,1142.9431,36.0344,-121.928,24358.863,-8,Federal
252,3647.64,36.0408,-123.585,154072.05,-8,Federal
253,3572.7217,36.0395,-123.442,141498.08,-8,Federal
254,3180.8755,36.0362,-122.535,64205.254,-8,Federal
255,3533.5369,36.0471,-123.264,125682.914,-8,Federal
256,3531.627,36.0395,-123.081,109952.31,-8,Federal
257,4188.7866,36.0368,-124.503,227313.78,-8,Federal
258,1222.7388,36.0378,-121.978,26299.008,-8,Federal
259,868.499,36.043,-121.709,9401.479,-8,Federal
260,3600.539,36.0402,-123.221,122108.91,-8,Federal
261,3538.4556,36.0551,-123.146,115151.85,-8,Federal
262,1028.8156,36.046,-121.852,19834.074,-8,Federal
263,3459.1082,36.053,-123.006,103043.48,-8,Federal
264,3376.1643,36.0435,-122.621,70796.89,-8,Federal
265,3592.154,36.0463,-123.465,143362.14,-8,Federal
266,3714.5007,36.0443,-123.647,159475.33,-8,Federal
267,4450.605,36.0448,-124.955,252185.0,-8,Federal
268,3823.4802,36.053,-123.775,170638.64,-8,Federal
269,3936.475,36.0431,-124.01,190677.19,-8,Federal
270,3599.4504,36.0458,-123.505,146899.86,-8,Federal
271,2383.8694,36.0538,-122.356,49392.867,-8,Federal
272,3960.0198,36.0523,-124.145,199685.83,-8,Federal
273,4238.9854,36.0626,-124.772,239765.33,-8,Federal
274,3944.9753,36.0617,-124.249,206695.0,-8,Federal
275,4213.768,36.0576,-124.496,224896.47,-8,Federal
276,3835.5374,36.0539,-123.799,172751.14,-8,Federal
277,2312.5757,36.0531,-122.312,46226.82,-8,Federal
278,2128.0784,36.0578,-122.201,38340.027,-8,Federal
279,662.4929,36.0641,-121.678,5835.655,-8,Federal
280,4230.4087,36.0664,-124.583,228764.31,-8,Federal
281,3488.9783,36.0587,-122.768,82438.83,-8,Federal
282,2604.277,36.0703,-122.303,44441.56,-8,Federal
283,3443.8027,36.067,-123.015,103403.71,-8,Federal
284,4060.5676,36.0681,-124.378,215951.94,-8,Federal
285,3562.5166,36.0661,-123.19,118707.55,-8,Federal
286,3454.0347,36.0732,-123.353,132873.11,-8,Federal
287,23.0568,36.0712,-121.611,374.85663,-8,California
288,4249.2446,36.0745,-124.564,227014.11,-8,Federal
289,899.8108,36.0724,-121.807,14915.619,-8,Federal
290,3944.3467,36.0686,-124.131,197597.5,-8,Federal
291,3322.0212,36.0724,-122.574,65622.91,-8,Federal
292,3587.107,36.0722,-123.494,145353.69,-8,Federal
293,1691.1388,36.0867,-122.228,37973.92,-8,Federal
294,3591.9866,36.0804,-123.557,150770.34,-8,Federal
295,3844.678,36.0704,-123.834,175557.9,-8,Federal
296,3397.3674,36.0831,-122.978,99722.39,-8,Federal
297,625.737,36.0822,-121.71,7658.016,-8,Federal
298,4295.1084,36.0949,-124.505,222022.7,-8,Federal
299,3451.6013,36.0901,-123.039,104860.1,-8,Federal
300,4221.423,36.0939,-124.865,242688.61,-8,Federal
301,3848.0688,36.0858,-123.849,176630.02,-8,Federal
302,2772.9443,36.0935,-122.523,60477.527,-8,Federal
303,3970.678,36.1006,-124.181,199202.23,-8,Federal
304,3694.265,36.0909,-123.662,159900.94,-8,Federal
305,4256.2827,36.0958,-124.722,234044.34,-8,Federal
306,3524.0444,36.0963,-123.401,136629.75,-8,Federal
307,4476.0923,36.0954,-124.985,249966.86,-8,Federal
308,4189.6304,36.092,-124.805,239241.47,-8,Federal
309,3443.3503,36.0979,-122.882,90944.75,-8,Federal
310,510.4059,36.1017,-121.699,5577.2383,-8,California
311,3496.8691,36.0973,-123.12,111789.94,-8,Federal
312,3354.3772,36.1051,-122.646,70366.84,-8,Federal
313,1550.2043,36.1027,-122.063,25935.541,-8,Federal
314,3908.53,36.1008,-124.072,191199.61,-8,Federal
315,4214.9707,36.1067,-124.465,218842.75,-8,Federal
316,1606.5496,36.1041,-122.219,36135.31,-8,Federal
317,2087.763,36.1056,-122.406,50347.188,-8,Federal
318,3473.8994,36.1092,-123.104,110104.58,-8,Federal
319,3779.2163,36.1038,-123.764,168725.98,-8,Federal
320,3885.789,36.1042,-123.943,181731.4,-8,Federal
321,3487.813,36.1085,-123.364,133112.16,-8,Federal
322,3442.1833,36.1021,-122.903,92654.73,-8,Federal
323,4229.6533,36.1148,-124.86,240673.78,-8,Federal
324,3923.871,36.1158,-124.112,193146.12,-8,Federal
325,3904.7188,36.1182,-124.06,189187.75,-8,Federal
326,3909.0479,36.1163,-124.085,191135.14,-8,Federal
327,3756.153,36.1243,-124.277,204928.16,-8,Federal
328,1279.289,36.1185,-122.084,26279.139,-8,Federal
329,1520.7263,36.1199,-122.209,34358.727,-8,Federal
330,3449.1902,36.1199,-123.148,113755.195,-8,Federal
331,3839.558,36.1194,-123.856,174573.92,-8,Federal
332,776.7361,36.1246,-121.853,12544.254,-8,Federal
333,1386.8859,36.1193,-122.155,30628.93,-8,Federal
334,4241.482,36.1225,-124.48,218221.92,-8,Federal
335,3620.0073,36.1282,-124.356,210712.5,-8,Federal
336,3738.5508,36.1196,-123.724,164791.86,-8,Federal
337,3435.7476,36.1245,-123.05,105000.45,-8,Federal
338,647.787,36.1285,-121.729,5647.2607,-8,Federal
339,3645.77,36.1362,-123.213,119194.58,-8,Federal
340,3360.1443,36.1336,-122.637,68637.81,-8,Federal
341,3892.8455,36.1404,-124.027,185336.66,-8,Federal
342,3931.2852,36.1315,-124.125,193105.3,-8,Federal
343,3541.407,36.1316,-123.412,136964.58,-8,Federal
344,2730.5005,36.1375,-122.52,58470.31,-8,Federal
345,1675.2938,36.1405,-122.341,43392.234,-8,Federal
346,1468.0409,36.1338,-122.198,32650.213,-8,Federal
347,1488.325,36.138,-121.979,17663.182,-8,Federal
348,3549.3975,36.1416,-123.515,145985.25,-8,Federal
349,3545.598,36.1355,-123.434,138859.69,-8,Federal
350,3760.744,36.1439,-123.753,165726.78,-8,Federal
351,3377.708,36.1433,-123.016,101597.695,-8,Federal
352,3688.567,36.1429,-124.395,211914.38,-8,Federal
353,3480.176,36.1461,-124.347,208910.8,-8,Federal
354,3742.948,36.1506,-123.734,163946.22,-8,Federal
355,92.3892,36.1488,-121.688,1548.6299,-8,California
356,536.1447,36.1523,-121.786,7084.239,-8,Federal
357,4209.0103,36.1552,-124.566,220047.08,-8,Federal
358,865.6237,36.1552,-121.852,9322.674,-8,Federal
359,565.6076,36.1565,-121.808,7698.46,-8,Federal
360,3674.8064,36.1555,-123.661,158185.22,-8,Federal
361,3723.9014,36.1569,-123.714,162128.84,-8,Federal
362,3515.9236,36.1595,-123.361,131985.52,-8,Federal
363,992.1236,36.1592,-121.95,14152.369,-8,Federal
364,1735.0,36.1673,-122.393,46589.77,-8,Federal
365,3521.7798,36.1577,-123.34,130139.1,-8,Federal
366,3526.5627,36.167,-123.424,137359.53,-8,Federal
367,4407.9907,36.1722,-124.928,240287.81,-8,Federal
368,4366.556,36.1579,-124.911,240350.84,-8,Federal
369,3585.7249,36.169,-123.552,148392.77,-8,Federal
370,386.1844,36.1668,-121.732,2947.9224,-8,California
371,1230.0004,36.1704,-122.254,34897.746,-8,Federal
372,3500.6658,36.1748,-123.468,140952.64,-8,Federal
373,3790.782,36.1673,-123.801,167377.9,-8,Federal
374,1735.0,36.1673,-122.393,46589.77,-8,Federal
375,3321.8877,36.167,-122.984,98305.22,-8,Federal
376,1136.6941,36.173,-122.128,24997.943,-8,Federal
377,4198.039,36.1778,-124.617,221000.33,-8,Federal
378,1229.8575,36.1736,-122.168,27940.254,-8,Federal
379,4173.5796,36.1835,-124.541,216189.45,-8,Federal
380,3500.3823,36.1772,-123.367,132116.05,-8,Federal
381,3313.9902,36.1771,-122.769,79062.17,-8,Federal
382,3387.8914,36.1791,-123.127,110829.805,-8,Federal
383,708.7626,36.1888,-121.947,11846.416,-8,Federal
384,4239.026,36.1776,-124.73,227655.14,-8,Federal
385,837.8323,36.1894,-122.02,16548.12,-8,Federal
386,4403.555,36.1927,-124.923,238357.36,-8,Federal
387,4217.8755,36.1853,-124.653,222454.48,-8,Federal
388,4182.913,36.1917,-124.577,217518.66,-8,Federal
389,597.3207,36.1975,-121.936,10487.061,-8,Federal
390,3757.6326,36.1963,-124.368,205675.42,-8,Federal
391,3218.6409,36.2065,-122.937,93490.93,-8,Federal
392,3899.376,36.2023,-124.081,185426.94,-8,Federal
393,20.4777,36.2054,-121.75,517.58685,-8,California
394,3358.719,36.2152,-122.88,88285.82,-8,Federal
395,666.877,36.2069,-122.001,13961.6875,-8,Federal
396,3282.3389,36.206,-122.739,75860.67,-8,Federal
397,4419.2134,36.207,-124.94,238325.67,-8,Federal
398,4083.6123,36.215,-124.282,199816.52,-8,Federal
399,4019.1074,36.2041,-124.244,197630.2,-8,Federal
400,4194.4517,36.205,-124.82,230908.45,-8,Federal
401,4282.106,36.2214,-124.666,220199.42,-8,Federal
402,3930.502,36.2116,-124.139,189250.62,-8,Federal
403,3836.5503,36.2175,-123.898,170919.81,-8,Federal
404,4245.784,36.2285,-124.645,218360.5,-8,Federal
405,3725.2073,36.2117,-123.719,158548.06,-8,Federal
406,1306.715,36.2292,-122.333,39487.23,-8,Federal
407,1306.715,36.2292,-122.333,39487.23,-8,Federal
408,3212.3223,36.2292,-122.785,79621.69,-8,Federal
409,2494.227,36.2237,-122.547,58501.027,-8,Federal
410,4167.096,36.2189,-124.551,213702.28,-8,Federal
411,3571.6423,36.2224,-123.525,144317.84,-8,Federal
412,3802.2842,36.2317,-123.838,165633.72,-8,Federal
413,3271.328,36.232,-122.865,86739.984,-8,Federal
414,3974.646,36.2431,-124.194,191490.2,-8,Federal
415,3518.002,36.2317,-123.143,111088.15,-8,Federal
416,3274.0,36.2318,-122.846,85042.96,-8,Federal
417,2654.7783,36.2302,-122.568,60257.176,-8,Federal
418,3575.2876,36.2502,-123.527,142681.89,-8,Federal
419,3244.1926,36.2378,-122.669,69152.65,-8,Federal
420,3651.9998,36.2432,-123.623,149679.78,-8,Federal
421,1758.9719,36.2374,-122.452,49827.44,-8,Federal
422,3349.356,36.2467,-123.05,102587.16,-8,Federal
423,4381.0728,36.2357,-124.739,223434.02,-8,Federal
424,2207.0842,36.2517,-122.535,57011.137,-8,Federal
425,928.6509,36.2441,-122.211,28435.408,-8,Federal
426,3862.744,36.2396,-123.966,174528.2,-8,Federal
427,3485.886,36.245,-123.398,132657.11,-8,Federal
428,4066.454,36.2513,-124.266,195416.1,-8,Federal
429,4066.454,36.2513,-124.266,195416.1,-8,Federal
430,3943.9153,36.2561,-124.176,189345.44,-8,Federal
431,3772.9014,36.2442,-123.799,161992.16,-8,Federal
432,924.5568,36.2534,-122.189,26270.334,-8,Federal
433,3306.4065,36.2572,-123.015,99244.45,-8,Federal
434,67.8048,36.2601,-121.958,7008.791,-8,Federal
435,3445.749,36.2621,-123.339,127034.39,-8,Federal
436,3281.6157,36.255,-123.17,112788.52,-8,Federal
437,3232.1475,36.2612,-122.696,71323.41,-8,Federal
438,914.976,36.2614,-122.192,26348.387,-8,Federal
439,774.3171,36.2624,-122.154,22982.07,-8,Federal
440,3539.9575,36.2614,-123.488,139259.02,-8,Federal
441,3268.625,36.2669,-123.154,111005.08,-8,Federal
442,774.3171,36.2624,-122.154,22982.07,-8,Federal
443,3928.5984,36.2608,-124.156,187558.16,-8,Federal
444,4499.2583,36.2667,-125.07,242353.25,-8,Federal
445,1662.1216,36.2637,-122.44,48380.57,-8,Federal
446,67.0,36.272,-121.921,3858.3662,-8,California
447,3765.153,36.2653,-123.794,160239.14,-8,Federal
448,4490.617,36.273,-125.048,240410.98,-8,Federal
449,3658.9512,36.2751,-123.63,147902.19,-8,Federal
450,4016.1543,36.2709,-124.443,203115.03,-8,Federal
451,974.7021,36.2835,-122.237,30014.594,-8,Federal
452,3658.9512,36.2751,-123.63,147902.19,-8,Federal
453,980.062,36.2818,-122.269,32895.05,-8,Federal
454,3975.124,36.2875,-124.228,190172.8,-8,Federal
455,4042.9617,36.2806,-124.278,193364.11,-8,Federal
456,4348.2334,36.2856,-124.769,221292.45,-8,Federal
457,3873.0403,36.2831,-124.026,176432.11,-8,Federal
458,3901.1182,36.2771,-124.07,180148.92,-8,Federal
459,3253.865,36.2929,-122.766,76650.336,-8,Federal
460,4378.779,36.2762,-124.905,230723.45,-8,Federal
461,1257.0754,36.2882,-122.368,41720.67,-8,Federal
462,3472.81,36.2955,-123.343,126389.55,-8,Federal
463,3220.162,36.2833,-122.822,81774.92,-8,Federal
464,2598.7234,36.2824,-122.584,61133.668,-8,Federal
465,3250.387,36.2893,-122.943,92077.35,-8,Federal
466,3394.1807,36.3015,-122.867,85128.48,-8,Federal
467,4145.1157,36.3002,-124.585,208827.52,-8,Federal
468,3576.1787,36.2893,-123.517,139124.0,-8,Federal
469,3517.363,36.3027,-123.428,132190.44,-8,Federal
470,982.053,36.299,-122.275,33324.83,-8,Federal
471,4500.6025,36.2963,-125.104,242503.47,-8,Federal
472,4382.089,36.2984,-124.901,228767.78,-8,Federal
473,3244.5503,36.3011,-122.887,86879.516,-8,Federal
474,4299.907,36.2998,-124.786,221246.81,-8,Federal
475,3356.9802,36.3135,-122.792,78274.72,-8,Federal
476,3865.1948,36.3024,-124.017,174622.28,-8,Federal
477,4058.887,36.3145,-124.409,197427.39,-8,Federal
478,4058.887,36.3145,-124.409,197427.39,-8,Federal
479,2841.0474,36.3055,-122.611,62975.645,-8,Federal
480,4465.9736,36.3201,-125.014,234661.81,-8,Federal
481,4500.623,36.3113,-125.12,242525.62,-8,Federal
482,897.7435,36.3114,-122.213,27747.193,-8,Federal
483,3066.5312,36.3104,-122.633,64673.027,-8,Federal
484,4052.0264,36.3101,-124.431,199045.19,-8,Federal
485,3835.4753,36.3136,-123.936,167782.94,-8,Federal
486,150.0,36.3185,-122.056,13702.92,-8,Federal
487,2178.594,36.3143,-122.535,56212.82,-8,Federal
488,3761.6406,36.3239,-123.773,154933.66,-8,Federal
489,3418.024,36.3227,-123.051,100318.414,-8,Federal
490,40.0,36.3185,-121.914,1559.8064,-8,California
