,water_depth,latitude,longitude,distance_to_shore,timezone,jurisdiction
1833,4068.2998,34.9759,-122.55,137685.98,-8,Federal
1834,4016.6587,34.9891,-122.257,115495.625,-8,Federal
1835,4046.9272,34.9889,-122.329,120569.5,-8,Federal
1836,3989.44,34.9848,-122.155,108926.484,-8,Federal
1837,4047.2017,34.9931,-123.285,191291.3,-8,Federal
1838,449.7102,34.9853,-121.414,55209.53,-8,Federal
1839,35.2205,34.9934,-120.69,4218.2646,-8,California
1840,3994.5442,34.9901,-122.113,105781.54,-8,Federal
1841,4145.6196,34.995,-123.619,212771.64,-8,Federal
1842,1597.4323,34.9989,-121.673,75785.25,-8,Federal
1843,2965.884,34.9933,-121.957,95984.37,-8,Federal
1844,4074.0,35.0015,-122.62,141513.84,-8,Federal
1845,4037.1875,34.9978,-122.362,122331.06,-8,Federal
1846,592.2266,35.0012,-121.293,45071.87,-8,Federal
1847,4058.177,35.008,-122.764,152501.11,-8,Federal
1848,91.5785,34.9976,-120.786,12550.959,-8,Federal
1849,4035.9487,35.0065,-123.158,182053.02,-8,Federal
1850,1058.6042,34.9999,-121.558,66079.875,-8,Federal
1851,4203.0913,34.9972,-124.006,239436.25,-8,Federal
1852,4226.1606,34.9938,-124.182,252517.52,-8,Federal
1853,4058.7253,35.0106,-123.278,189435.23,-8,Federal
1854,2695.3438,35.0071,-121.923,92851.04,-8,Federal
1855,4046.7705,35.0111,-122.375,122389.11,-8,Federal
1856,569.0,35.0113,-121.158,34529.61,-8,Federal
1857,3527.7075,35.0091,-122.006,97547.484,-8,Federal
1858,1654.0,35.0009,-121.691,77237.16,-8,Federal
1859,3955.0,35.0095,-122.183,108927.74,-8,Federal
1860,3527.7075,35.0091,-122.006,97547.484,-8,Federal
1861,578.5643,35.0024,-121.198,37962.113,-8,Federal
1862,4043.3381,35.0075,-123.216,185868.92,-8,Federal
1863,2463.0,35.0104,-121.847,88427.9,-8,Federal
1864,4084.8608,35.0152,-122.724,148923.06,-8,Federal
1865,4132.7256,35.0096,-123.634,212659.5,-8,Federal
1866,4052.134,35.0121,-122.837,157837.92,-8,Federal
1867,4093.7688,35.0208,-123.466,200763.89,-8,Federal
1868,4073.593,35.0197,-123.316,191094.83,-8,Federal
1869,19.4209,35.0195,-120.654,1531.243,-8,California
1870,4007.4856,35.0174,-122.264,113968.61,-8,Federal
1871,3955.0422,35.0154,-122.093,102506.35,-8,Federal
1872,386.8219,35.0188,-120.985,23809.12,-8,Federal
1873,2555.2146,35.0182,-121.884,89705.48,-8,Federal
1874,4166.808,35.0195,-123.848,226630.69,-8,Federal
1875,4084.8096,35.015,-123.361,194341.92,-8,Federal
1876,4046.4265,35.0188,-123.174,182545.3,-8,Federal
