"","site_number_jupyter","water_depth","distance_to_shore","timezone","jurisdiction","year","site_number","watts","geometry"
"230",229,6.616,271.8213,-8,"California","5yrave","omni-directional_wave_power_229",12392.44853,c(36.6116, -121.952)
"231",230,1179.3602,9740.894,-8,"Federal","5yrave","omni-directional_wave_power_230",29928.67264,c(36.5826, -122.086)
"232",231,2190.4194,24419.889,-8,"Federal","5yrave","omni-directional_wave_power_231",32382.27177,c(36.585, -122.25)
"233",232,2560.4314,39896.938,-8,"Federal","5yrave","omni-directional_wave_power_232",34604.25383,c(36.5809, -122.423)
"234",233,2644.8186,54756.152,-8,"Federal","5yrave","omni-directional_wave_power_233",36322.05395,c(36.5861, -122.589)
"235",234,2906,68291.9,-8,"Federal","5yrave","omni-directional_wave_power_234",37491.74275,c(36.5749, -122.746)
"236",235,105,3494.723,-8,"California","5yrave","omni-directional_wave_power_235",29451.47965,c(36.4099, -121.958)
"237",236,730.6335,14159.347,-8,"Federal","5yrave","omni-directional_wave_power_236",31435.3625,c(36.4173, -122.084)
"238",237,1282.89,28518.646,-8,"Federal","5yrave","omni-directional_wave_power_237",33478.26542,c(36.4139, -122.251)
"239",238,1894.0193,43872.96,-8,"Federal","5yrave","omni-directional_wave_power_238",35412.4328,c(36.4162, -122.428)
"240",239,2996,57284.12,-8,"Federal","5yrave","omni-directional_wave_power_239",36662.85074,c(36.4193, -122.586)
"241",240,2973.2085,70753.63,-8,"Federal","5yrave","omni-directional_wave_power_240",37690.48085,c(36.4183, -122.742)
"242",241,175.9639,2987.7842,-8,"California","5yrave","omni-directional_wave_power_241",16113.89175,c(36.1938, -121.781)
"243",242,134.2385,6746.1333,-8,"California","5yrave","omni-directional_wave_power_242",31830.1377,c(36.2429, -121.924)
"244",243,554.3449,17412.105,-8,"Federal","5yrave","omni-directional_wave_power_243",32632.0489,c(36.2483, -122.084)
"245",244,988,31045.076,-8,"Federal","5yrave","omni-directional_wave_power_244",34166.56706,c(36.2563, -122.244)
"246",245,1555.9298,46515.953,-8,"Federal","5yrave","omni-directional_wave_power_245",35832.00973,c(36.2557, -122.418)
"247",246,2933.4707,62354.758,-8,"Federal","5yrave","omni-directional_wave_power_246",37058.24115,c(36.2534, -122.595)
"248",247,3183.2773,76636.45,-8,"Federal","5yrave","omni-directional_wave_power_247",37940.17197,c(36.2581, -122.755)
"249",248,3047.727,93271.03,-8,"Federal","5yrave","omni-directional_wave_power_248",41268.39822,c(36.9178, -123.408)
"250",249,3218.3516,100594.69,-8,"Federal","5yrave","omni-directional_wave_power_249",39511.1619,c(36.4204, -123.083)
"251",250,370.6987,2739.4458,-8,"California","5yrave","omni-directional_wave_power_250",22307.0137,c(36.0501, -121.623)
"252",251,834.1058,10692.518,-8,"Federal","5yrave","omni-directional_wave_power_251",28049.75893,c(36.0839, -121.753)
"253",252,1153.0311,19371.314,-8,"Federal","5yrave","omni-directional_wave_power_252",32029.25125,c(36.0813, -121.919)
"254",253,1777.431,28586.416,-8,"Federal","5yrave","omni-directional_wave_power_253",33388.9815,c(36.0819, -122.08)
"255",254,1803.5286,39701.457,-8,"Federal","5yrave","omni-directional_wave_power_254",35037.60274,c(36.0841, -122.25)
"256",255,2407.0557,52094.492,-8,"Federal","5yrave","omni-directional_wave_power_255",36302.6862,c(36.0916, -122.419)
"257",256,35.144,720.71893,-8,"California","5yrave","omni-directional_wave_power_256",21663.22706,c(35.8841, -121.473)
"258",257,544.7415,9781.65,-8,"Federal","5yrave","omni-directional_wave_power_257",27434.24208,c(35.9176, -121.584)
"259",258,950.1296,20028.121,-8,"Federal","5yrave","omni-directional_wave_power_258",31559.19065,c(35.9156, -121.752)
"260",259,1220.0186,33207.395,-8,"Federal","5yrave","omni-directional_wave_power_259",32889.10847,c(35.91, -121.918)
"261",260,1738.3319,43172.08,-8,"Federal","5yrave","omni-directional_wave_power_260",34442.5586,c(35.9165, -122.091)
"262",261,2091.6616,52090.617,-8,"Federal","5yrave","omni-directional_wave_power_261",35738.70454,c(35.9235, -122.255)
"263",262,3054.102,63674.75,-8,"Federal","5yrave","omni-directional_wave_power_262",36845.3201,c(35.9143, -122.421)
"264",263,15.8143,518.91187,-8,"California","5yrave","omni-directional_wave_power_263",18148.7197,c(35.7062, -121.316)
"265",264,190.8834,8332.964,-8,"Federal","5yrave","omni-directional_wave_power_264",24972.91546,c(35.7468, -121.421)
"266",265,660.0756,18256.857,-8,"Federal","5yrave","omni-directional_wave_power_265",30697.3698,c(35.7488, -121.583)
"267",266,958.9826,29891.672,-8,"Federal","5yrave","omni-directional_wave_power_266",32356.00178,c(35.7477, -121.749)
"268",267,1132.0103,43638.746,-8,"Federal","5yrave","omni-directional_wave_power_267",33795.27001,c(35.7461, -121.917)
"269",268,1220.1312,55144.9,-8,"Federal","5yrave","omni-directional_wave_power_268",35276.88003,c(35.7501, -122.084)
"270",269,2450.1936,67089.836,-8,"Federal","5yrave","omni-directional_wave_power_269",36366.49185,c(35.7453, -122.252)
"271",270,3496.938,76145.1,-8,"Federal","5yrave","omni-directional_wave_power_270",37275.26057,c(35.7554, -122.425)
"272",271,3566.9087,88244.81,-8,"Federal","5yrave","omni-directional_wave_power_271",38216.34857,c(35.9092, -122.753)
"273",272,45,2275.3286,-8,"California","5yrave","omni-directional_wave_power_272",16005.43004,c(35.5468, -121.128)
"274",273,112,7986.735,-8,"Federal","5yrave","omni-directional_wave_power_273",23979.43477,c(35.5799, -121.255)
"275",274,546.4163,14906.565,-8,"Federal","5yrave","omni-directional_wave_power_274",30264.14627,c(35.5818, -121.42)
"276",275,787.561,27900.342,-8,"Federal","5yrave","omni-directional_wave_power_275",32076.11414,c(35.5842, -121.582)
"277",276,964.3946,42687.754,-8,"Federal","5yrave","omni-directional_wave_power_276",33359.42546,c(35.584, -121.762)
"278",277,987.7163,53193.816,-8,"Federal","5yrave","omni-directional_wave_power_277",34914.79905,c(35.5862, -121.924)
"279",278,65,5806.131,-8,"Federal","5yrave","omni-directional_wave_power_278",15594.9053,c(35.386, -120.933)
"280",279,238.6734,8916.361,-8,"Federal","5yrave","omni-directional_wave_power_279",25889.10275,c(35.4136, -121.085)
"281",280,423.5188,19858.95,-8,"Federal","5yrave","omni-directional_wave_power_280",29767.28324,c(35.417, -121.252)
"282",281,739,29703.492,-8,"Federal","5yrave","omni-directional_wave_power_281",31753.85517,c(35.4165, -121.416)
"283",282,1025.8364,37743.023,-8,"Federal","5yrave","omni-directional_wave_power_282",32832.4787,c(35.4184, -121.578)
"284",283,1213.973,49484.02,-8,"Federal","5yrave","omni-directional_wave_power_283",34362.03051,c(35.4255, -121.751)
"285",284,1743.3339,63580.582,-8,"Federal","5yrave","omni-directional_wave_power_284",35972.76454,c(35.4094, -121.918)
"286",285,1.9478,0,-8,"California","5yrave","omni-directional_wave_power_285",2941.971662,c(35.1766, -120.786)
"287",286,71.9399,3024.1084,-8,"California","5yrave","omni-directional_wave_power_286",25602.05064,c(35.2446, -120.932)
"288",287,408.1862,16922.303,-8,"Federal","5yrave","omni-directional_wave_power_287",29226.36187,c(35.2495, -121.086)
"289",288,582.186,31746.89,-8,"Federal","5yrave","omni-directional_wave_power_288",31210.90432,c(35.2515, -121.249)
"290",289,775.6507,43049.46,-8,"Federal","5yrave","omni-directional_wave_power_289",32572.62921,c(35.2513, -121.414)
"291",290,815.914,52273.938,-8,"Federal","5yrave","omni-directional_wave_power_290",33904.93732,c(35.2591, -121.585)
"292",291,1334.7373,61443.152,-8,"Federal","5yrave","omni-directional_wave_power_291",35467.46563,c(35.2577, -121.75)
"293",292,2007.6384,72784.63,-8,"Federal","5yrave","omni-directional_wave_power_292",36709.28446,c(35.2512, -121.913)
"294",293,23,1954.4713,-8,"California","5yrave","omni-directional_wave_power_293",11866.70085,c(35.0747, -120.651)
"295",294,59.5197,7976.8433,-8,"Federal","5yrave","omni-directional_wave_power_294",18514.41571,c(35.0831, -120.752)
"296",295,214.9909,14633.129,-8,"Federal","5yrave","omni-directional_wave_power_295",28354.0267,c(35.0814, -120.917)
"297",296,513.0927,24392.469,-8,"Federal","5yrave","omni-directional_wave_power_296",30809.57835,c(35.0831, -121.086)
"298",297,607.8666,36521.73,-8,"Federal","5yrave","omni-directional_wave_power_297",32201.47085,c(35.09, -121.251)
"299",298,482.1386,51084.23,-8,"Federal","5yrave","omni-directional_wave_power_298",33548.29132,c(35.0867, -121.424)
"300",299,995.2248,65311.78,-8,"Federal","5yrave","omni-directional_wave_power_299",35068.09778,c(35.0892, -121.589)
"301",300,1755.6157,77298.29,-8,"Federal","5yrave","omni-directional_wave_power_300",36443.56847,c(35.0772, -121.749)
"302",301,2686.213,86124.29,-8,"Federal","5yrave","omni-directional_wave_power_301",37411.15199,c(35.0811, -121.916)
"303",302,14,362.4705,-8,"California","5yrave","omni-directional_wave_power_302",11096.2484,c(34.8925, -120.647)
"304",303,75,7378.497,-8,"Federal","5yrave","omni-directional_wave_power_303",25991.98197,c(34.918, -120.751)
"305",304,267.5135,22584.68,-8,"Federal","5yrave","omni-directional_wave_power_304",30236.45789,c(34.9156, -120.919)
"306",305,554.0709,38458.945,-8,"Federal","5yrave","omni-directional_wave_power_305",31903.17601,c(34.9128, -121.093)
"307",306,575.3994,47822.09,-8,"Federal","5yrave","omni-directional_wave_power_306",33119.02408,c(34.9219, -121.256)
"308",307,463.6072,59800.805,-8,"Federal","5yrave","omni-directional_wave_power_307",34634.35581,c(34.9227, -121.423)
"309",308,23,1048.1583,-8,"California","5yrave","omni-directional_wave_power_308",19381.43584,c(34.7438, -120.642)
"310",309,80,10225.933,-8,"Federal","5yrave","omni-directional_wave_power_309",29096.13613,c(34.7497, -120.75)
"311",310,266.2637,25590.133,-8,"Federal","5yrave","omni-directional_wave_power_310",31426.9917,c(34.7503, -120.918)
"312",311,518.7088,40596.082,-8,"Federal","5yrave","omni-directional_wave_power_311",32719.90868,c(34.7555, -121.082)
"313",312,533.6125,55915.406,-8,"Federal","5yrave","omni-directional_wave_power_312",34129.05994,c(34.748, -121.254)
"314",313,620.9874,70073.37,-8,"Federal","5yrave","omni-directional_wave_power_313",35715.01392,c(34.7548, -121.417)
"315",314,-99,0,-8,"California","5yrave","omni-directional_wave_power_314",-9,c(34.5541, -120.614)
"316",315,97,9147.002,-8,"Federal","5yrave","omni-directional_wave_power_315",30224.36066,c(34.5844, -120.752)
"317",316,570.4697,24254.705,-8,"Federal","5yrave","omni-directional_wave_power_316",32588.80769,c(34.5832, -120.917)
"318",317,848.7031,39751.22,-8,"Federal","5yrave","omni-directional_wave_power_317",33905.92322,c(34.5751, -121.086)
"319",318,949.0698,54161.66,-8,"Federal","5yrave","omni-directional_wave_power_318",35193.22571,c(34.5848, -121.243)
"320",319,1290.1771,69581.61,-8,"Federal","5yrave","omni-directional_wave_power_319",36738.91002,c(34.5898, -121.411)
"321",320,3793.8464,94321.41,-8,"Federal","5yrave","omni-directional_wave_power_320",37722.45616,c(35.3293, -122.252)
"322",321,1419.7317,94817.9,-8,"Federal","5yrave","omni-directional_wave_power_321",37784.29237,c(34.758, -121.751)
"323",322,21,1980.6907,-8,"California","5yrave","omni-directional_wave_power_322",2390.723019,c(34.3528, -119.467)
"324",323,42,4588.5293,-8,"California","5yrave","omni-directional_wave_power_323",2224.901322,c(34.3723, -119.59)
"325",324,69,3425.6511,-8,"California","5yrave","omni-directional_wave_power_324",2568.156311,c(34.3712, -119.754)
"326",325,84.6028,4907.672,-8,"California","5yrave","omni-directional_wave_power_325",2966.833144,c(34.3816, -119.926)
"327",326,177.5045,6779.4355,-8,"Federal","5yrave","omni-directional_wave_power_326",3518.291548,c(34.3988, -120.085)
"328",327,248.5482,7311.6196,-8,"Federal","5yrave","omni-directional_wave_power_327",5019.466869,c(34.4012, -120.251)
"329",328,93.4564,5877.2075,-8,"Federal","5yrave","omni-directional_wave_power_328",14591.25487,c(34.3963, -120.418)
"330",329,188.9238,10842.245,-8,"Federal","5yrave","omni-directional_wave_power_329",26132.71584,c(34.4167, -120.584)
"331",330,580.1909,19127.482,-8,"Federal","5yrave","omni-directional_wave_power_330",32428.7277,c(34.4152, -120.753)
"332",331,867.0734,30003.465,-8,"Federal","5yrave","omni-directional_wave_power_331",33837.82721,c(34.4203, -120.92)
"333",332,1285.1511,42961.41,-8,"Federal","5yrave","omni-directional_wave_power_332",35018.44754,c(34.426, -121.084)
"334",333,1827.532,57071.098,-8,"Federal","5yrave","omni-directional_wave_power_333",36485.33056,c(34.4229, -121.246)
"335",334,2380.9897,72500.39,-8,"Federal","5yrave","omni-directional_wave_power_334",37745.36087,c(34.4189, -121.419)
"336",335,19,3070.0022,-8,"California","5yrave","omni-directional_wave_power_335",4938.301632,c(34.2168, -119.295)
"337",336,39,8248.809,-8,"Federal","5yrave","omni-directional_wave_power_336",4122.830777,c(34.2475, -119.419)
"338",337,98,16611.262,-8,"Federal","5yrave","omni-directional_wave_power_337",4297.376222,c(34.2488, -119.584)
"339",338,187.833,16250.205,-8,"Federal","5yrave","omni-directional_wave_power_338",6191.911392,c(34.2502, -119.75)
"340",339,527.9271,17647.193,-8,"Federal","5yrave","omni-directional_wave_power_339",7801.101728,c(34.2504, -119.916)
"341",340,584,23062.568,-8,"Federal","5yrave","omni-directional_wave_power_340",11597.79397,c(34.252, -120.085)
"342",341,488.4947,21924.945,-8,"Federal","5yrave","omni-directional_wave_power_341",17904.43597,c(34.2498, -120.252)
"343",342,444,19794.457,-8,"Federal","5yrave","omni-directional_wave_power_342",25807.6218,c(34.2511, -120.416)
"344",343,544,24100.86,-8,"Federal","5yrave","omni-directional_wave_power_343",31575.57598,c(34.2519, -120.585)
"345",344,725.7883,33837.08,-8,"Federal","5yrave","omni-directional_wave_power_344",33613.72538,c(34.2523, -120.754)
"346",345,903.9457,42300.04,-8,"Federal","5yrave","omni-directional_wave_power_345",34836.55664,c(34.2578, -120.92)
"347",346,1197.393,53281.293,-8,"Federal","5yrave","omni-directional_wave_power_346",36181.48174,c(34.25, -121.081)
"348",347,2278.7864,66007.18,-8,"Federal","5yrave","omni-directional_wave_power_347",37439.01632,c(34.2532, -121.256)
"349",348,1927.2483,78909.32,-8,"Federal","5yrave","omni-directional_wave_power_348",38196.94338,c(34.2458, -121.413)
"350",349,4.945,215.38965,-8,"California","5yrave","omni-directional_wave_power_349",2807.720494,c(34.005, -118.497)
"351",350,27,2244.172,-8,"California","5yrave","omni-directional_wave_power_350",2927.013556,c(34.0177, -118.588)
"352",351,31.0887,2251.685,-8,"California","5yrave","omni-directional_wave_power_351",2945.226423,c(34.0126, -118.735)
"353",352,49.4201,2130.4995,-8,"California","5yrave","omni-directional_wave_power_352",4839.004433,c(34.0246, -118.93)
"354",353,432.4127,5079.386,-8,"California","5yrave","omni-directional_wave_power_353",6218.787805,c(34.0472, -119.092)
"355",354,195.6563,8173.1704,-8,"Federal","5yrave","omni-directional_wave_power_354",7487.529741,c(34.079, -119.253)
"356",355,235.8673,7611.3066,-8,"Federal","5yrave","omni-directional_wave_power_355",6138.437981,c(34.0841, -119.417)
"357",356,195.7398,4434.222,-8,"California","5yrave","omni-directional_wave_power_356",6252.422748,c(34.0938, -119.583)
"358",357,179.6482,5264.6807,-8,"California","5yrave","omni-directional_wave_power_357",8378.286607,c(34.1057, -119.746)
"359",358,72,1558.136,-8,"California","5yrave","omni-directional_wave_power_358",11862.13063,c(34.0913, -119.924)
"360",359,84.1873,6626.167,-8,"Federal","5yrave","omni-directional_wave_power_359",14838.47889,c(34.0946, -120.083)
"361",360,83.2299,7680.151,-8,"Federal","5yrave","omni-directional_wave_power_360",19542.02461,c(34.0849, -120.253)
"362",361,53,3668.57,-8,"California","5yrave","omni-directional_wave_power_361",28743.12594,c(34.0913, -120.426)
"363",362,146,13330.957,-8,"Federal","5yrave","omni-directional_wave_power_362",32896.10261,c(34.0852, -120.587)
"364",363,783.163,28044.057,-8,"Federal","5yrave","omni-directional_wave_power_363",34874.56524,c(34.0777, -120.754)
"365",364,1307.7196,42793.074,-8,"Federal","5yrave","omni-directional_wave_power_364",36012.15122,c(34.0779, -120.915)
"366",365,1605.183,57843.977,-8,"Federal","5yrave","omni-directional_wave_power_365",37117.16243,c(34.0848, -121.078)
"367",366,3075.4126,73558.33,-8,"Federal","5yrave","omni-directional_wave_power_366",38047.9233,c(34.0815, -121.249)
"368",367,3174.2424,88713.69,-8,"Federal","5yrave","omni-directional_wave_power_367",38544.72715,c(34.0916, -121.42)
"369",368,3612.7744,107686.74,-8,"Federal","5yrave","omni-directional_wave_power_368",38680.00412,c(34.2431, -121.753)
"370",369,33.4578,3569.45,-8,"California","5yrave","omni-directional_wave_power_369",5019.801649,c(33.899, -118.462)
"371",370,229.6401,12526.302,-8,"Federal","5yrave","omni-directional_wave_power_370",6782.722168,c(33.9175, -118.585)
"372",371,556,10629.415,-8,"Federal","5yrave","omni-directional_wave_power_371",7123.414772,c(33.9169, -118.75)
"373",372,863.3813,13537.745,-8,"Federal","5yrave","omni-directional_wave_power_372",5629.807534,c(33.918, -118.916)
"374",373,841.8637,18116.096,-8,"Federal","5yrave","omni-directional_wave_power_373",5313.484631,c(33.915, -119.083)
"375",374,762.7418,14610.15,-8,"Federal","5yrave","omni-directional_wave_power_374",5134.693634,c(33.9182, -119.25)
"376",375,480,9585.884,-8,"Federal","5yrave","omni-directional_wave_power_375",5151.740323,c(33.9166, -119.415)
"377",376,966.879,8507.899,-8,"Federal","5yrave","omni-directional_wave_power_376",5219.761627,c(33.9111, -119.586)
"378",377,855.816,6708.0176,-8,"Federal","5yrave","omni-directional_wave_power_377",6064.410606,c(33.8983, -119.755)
"379",378,91,6137.6675,-8,"Federal","5yrave","omni-directional_wave_power_378",6242.120314,c(33.9097, -119.914)
"380",379,69,3366.9397,-8,"California","5yrave","omni-directional_wave_power_379",8178.199284,c(33.878, -120.078)
"381",380,206.986,7583.5327,-8,"Federal","5yrave","omni-directional_wave_power_380",18860.4564,c(33.908, -120.262)
"382",381,453.5143,12079.954,-8,"Federal","5yrave","omni-directional_wave_power_381",32243.83663,c(33.9161, -120.423)
"383",382,1681.8094,17173.432,-8,"Federal","5yrave","omni-directional_wave_power_382",35134.7231,c(33.9145, -120.581)
"384",383,1913.6554,29643.105,-8,"Federal","5yrave","omni-directional_wave_power_383",36081.55195,c(33.9171, -120.746)
"385",384,2202.095,44906.742,-8,"Federal","5yrave","omni-directional_wave_power_384",37293.86187,c(33.9131, -120.92)
"386",385,2351.2498,58986.938,-8,"Federal","5yrave","omni-directional_wave_power_385",38063.48467,c(33.9158, -121.078)
"387",386,14,2366.7354,-8,"California","5yrave","omni-directional_wave_power_386",2764.852244,c(33.707, -118.112)
"388",387,16,194.1931,-8,"California","5yrave","omni-directional_wave_power_387",2009.504396,c(33.7096, -118.241)
"389",388,267.9751,2103.8228,-8,"California","5yrave","omni-directional_wave_power_388",4823.07686,c(33.7389, -118.435)
"390",389,787.5616,14658.874,-8,"Federal","5yrave","omni-directional_wave_power_389",6405.367489,c(33.7484, -118.584)
"391",390,911.3747,28636.707,-8,"Federal","5yrave","omni-directional_wave_power_390",7062.364979,c(33.7465, -118.751)
"392",391,908,29993.068,-8,"Federal","5yrave","omni-directional_wave_power_391",6840.690398,c(33.7472, -118.921)
"393",392,881.8325,30157.902,-8,"Federal","5yrave","omni-directional_wave_power_392",6908.62367,c(33.7582, -119.084)
"394",393,365.1407,30391.498,-8,"Federal","5yrave","omni-directional_wave_power_393",7703.076575,c(33.752, -119.256)
"395",394,1589.8203,28303.533,-8,"Federal","5yrave","omni-directional_wave_power_394",8464.924571,c(33.7473, -119.411)
"396",395,1877.7035,25740.662,-8,"Federal","5yrave","omni-directional_wave_power_395",10140.36045,c(33.7534, -119.589)
"397",396,1260.2135,23165.488,-8,"Federal","5yrave","omni-directional_wave_power_396",12565.16671,c(33.75, -119.749)
"398",397,159.0417,22042.111,-8,"Federal","5yrave","omni-directional_wave_power_397",16873.36056,c(33.7483, -119.914)
"399",398,207.2072,15931.626,-8,"Federal","5yrave","omni-directional_wave_power_398",24187.34207,c(33.7521, -120.089)
"400",399,883.5795,20158.148,-8,"Federal","5yrave","omni-directional_wave_power_399",31583.0917,c(33.7464, -120.249)
"401",400,1178.5435,29833.225,-8,"Federal","5yrave","omni-directional_wave_power_400",35325.21916,c(33.7494, -120.423)
"402",401,1455.9817,33046.848,-8,"Federal","5yrave","omni-directional_wave_power_401",36212.13209,c(33.749, -120.582)
"403",402,1886.5372,41747.15,-8,"Federal","5yrave","omni-directional_wave_power_402",37094.55434,c(33.7456, -120.753)
"404",403,2295.5244,52542.688,-8,"Federal","5yrave","omni-directional_wave_power_403",37996.20638,c(33.7509, -120.915)
"405",404,3102.1213,65847.61,-8,"Federal","5yrave","omni-directional_wave_power_404",38581.6013,c(33.7545, -121.086)
"406",405,76.6064,2457.7686,-8,"California","5yrave","omni-directional_wave_power_405",5205.023544,c(33.5218, -117.801)
"407",406,343.4405,5230.0776,-8,"California","5yrave","omni-directional_wave_power_406",4534.665146,c(33.5582, -117.927)
"408",407,186.9821,10402.846,-8,"Federal","5yrave","omni-directional_wave_power_407",4507.286166,c(33.5839, -118.083)
"409",408,174.0356,13351.857,-8,"Federal","5yrave","omni-directional_wave_power_408",5102.038489,c(33.5831, -118.252)
"410",409,894,15846.176,-8,"Federal","5yrave","omni-directional_wave_power_409",4749.105437,c(33.5825, -118.419)
"411",410,673.7393,11729.637,-8,"Federal","5yrave","omni-directional_wave_power_410",6958.35119,c(33.5842, -118.586)
"412",411,643.8945,17794.248,-8,"Federal","5yrave","omni-directional_wave_power_411",9491.909924,c(33.5817, -118.754)
"413",412,454.863,14921.71,-8,"Federal","5yrave","omni-directional_wave_power_412",10404.22738,c(33.5863, -118.918)
"414",413,294.6032,10605.354,-8,"Federal","5yrave","omni-directional_wave_power_413",10570.68047,c(33.5758, -119.082)
"415",414,487.2392,22474.104,-8,"Federal","5yrave","omni-directional_wave_power_414",12125.75091,c(33.5891, -119.255)
"416",415,1590.9081,34675.516,-8,"Federal","5yrave","omni-directional_wave_power_415",14346.49174,c(33.5857, -119.419)
"417",416,1785.3245,32774.402,-8,"Federal","5yrave","omni-directional_wave_power_416",17994.51899,c(33.5784, -119.587)
"418",417,664.5244,36712.797,-8,"Federal","5yrave","omni-directional_wave_power_417",22133.22959,c(33.578, -119.748)
"419",418,449.7986,38256.62,-8,"Federal","5yrave","omni-directional_wave_power_418",25591.70657,c(33.588, -119.915)
"420",419,921.2927,34516.645,-8,"Federal","5yrave","omni-directional_wave_power_419",31394.98666,c(33.5838, -120.087)
"421",420,665.2814,36588.266,-8,"Federal","5yrave","omni-directional_wave_power_420",35004.93759,c(33.5829, -120.251)
"422",421,1291.94,43930.41,-8,"Federal","5yrave","omni-directional_wave_power_421",36258.00424,c(33.5798, -120.418)
"423",422,1145,51031.562,-8,"Federal","5yrave","omni-directional_wave_power_422",36945.074,c(33.5805, -120.587)
"424",423,1293.8552,56904.87,-8,"Federal","5yrave","omni-directional_wave_power_423",37688.48583,c(33.5773, -120.749)
"425",424,21,2320.7488,-8,"California","5yrave","omni-directional_wave_power_424",4589.185878,c(33.3738, -117.615)
"426",425,620.8354,6797.635,-8,"Federal","5yrave","omni-directional_wave_power_425",5328.056369,c(33.4104, -117.758)
"427",426,602.442,17736.707,-8,"Federal","5yrave","omni-directional_wave_power_426",5076.979071,c(33.4162, -117.919)
"428",427,650.779,22716.56,-8,"Federal","5yrave","omni-directional_wave_power_427",4920.655431,c(33.4156, -118.085)
"429",428,743.8429,9890.682,-8,"Federal","5yrave","omni-directional_wave_power_428",3103.775102,c(33.42, -118.254)
"430",429,267.3078,2405.8755,-8,"California","5yrave","omni-directional_wave_power_429",1264.648285,c(33.4485, -118.416)
"431",430,575.641,3569.091,-8,"California","5yrave","omni-directional_wave_power_430",8332.939473,c(33.4106, -118.591)
"432",431,1250.5209,14927.04,-8,"Federal","5yrave","omni-directional_wave_power_431",9383.875073,c(33.4147, -118.748)
"433",432,1198.5056,11892.669,-8,"Federal","5yrave","omni-directional_wave_power_432",11690.14456,c(33.4137, -118.92)
"434",433,438.3867,6051.507,-8,"Federal","5yrave","omni-directional_wave_power_433",15584.7248,c(33.4141, -119.079)
"435",434,961.6104,18949.238,-8,"Federal","5yrave","omni-directional_wave_power_434",16759.24235,c(33.419, -119.247)
"436",435,1020.4576,18170.26,-8,"Federal","5yrave","omni-directional_wave_power_435",17886.40408,c(33.4206, -119.416)
"437",436,233.2519,15192.191,-8,"Federal","5yrave","omni-directional_wave_power_436",22312.06404,c(33.4175, -119.58)
"438",437,118,21639.578,-8,"Federal","5yrave","omni-directional_wave_power_437",28183.40626,c(33.4144, -119.746)
"439",438,847.7805,35615.703,-8,"Federal","5yrave","omni-directional_wave_power_438",31256.3285,c(33.4208, -119.922)
"440",439,1003.1393,49655.12,-8,"Federal","5yrave","omni-directional_wave_power_439",34741.75803,c(33.4123, -120.088)
"441",440,1223.6965,54684.383,-8,"Federal","5yrave","omni-directional_wave_power_440",35952.34829,c(33.4123, -120.245)
"442",441,1065.7102,59500.617,-8,"Federal","5yrave","omni-directional_wave_power_441",36713.08195,c(33.4164, -120.412)
"443",442,1182,67537.39,-8,"Federal","5yrave","omni-directional_wave_power_442",37403.72562,c(33.4194, -120.589)
"444",443,2813.438,73770.5,-8,"Federal","5yrave","omni-directional_wave_power_443",38071.86496,c(33.4108, -120.753)
"445",444,3411.9993,91976.76,-8,"Federal","5yrave","omni-directional_wave_power_444",38891.47231,c(33.8298, -121.42)
"446",445,3339.3977,82739,-8,"Federal","5yrave","omni-directional_wave_power_445",38598.72658,c(33.5013, -121.087)
"447",446,25.9026,3480.025,-8,"California","5yrave","omni-directional_wave_power_446",5028.39212,c(33.2206, -117.454)
"448",447,402.7688,11469.115,-8,"Federal","5yrave","omni-directional_wave_power_447",5876.111841,c(33.2516, -117.585)
"449",448,774.5098,20761.516,-8,"Federal","5yrave","omni-directional_wave_power_448",5653.88107,c(33.2513, -117.75)
"450",449,798,29834.414,-8,"Federal","5yrave","omni-directional_wave_power_449",5778.353594,c(33.2498, -117.915)
"451",450,843.5251,22144.893,-8,"Federal","5yrave","omni-directional_wave_power_450",5727.25273,c(33.2562, -118.076)
"452",451,436.0527,8693.309,-8,"Federal","5yrave","omni-directional_wave_power_451",6846.591315,c(33.2471, -118.247)
"453",452,1216.3369,8392.493,-8,"Federal","5yrave","omni-directional_wave_power_452",8732.442107,c(33.241, -118.424)
"454",453,1309.864,13862.01,-8,"Federal","5yrave","omni-directional_wave_power_453",11240.39208,c(33.2543, -118.589)
"455",454,1120.0842,26237.475,-8,"Federal","5yrave","omni-directional_wave_power_454",14578.22941,c(33.2535, -118.748)
"456",455,993.0411,26262.781,-8,"Federal","5yrave","omni-directional_wave_power_455",15024.70489,c(33.2506, -118.913)
"457",456,1180.6176,23811.424,-8,"Federal","5yrave","omni-directional_wave_power_456",15117.62533,c(33.2504, -119.09)
"458",457,333.2741,17178.957,-8,"Federal","5yrave","omni-directional_wave_power_457",13430.86677,c(33.2461, -119.251)
"459",458,41,3062.29,-8,"California","5yrave","omni-directional_wave_power_458",12605.55425,c(33.2476, -119.408)
"460",459,20.934,2066.556,-8,"California","5yrave","omni-directional_wave_power_459",26677.79492,c(33.2478, -119.592)
"461",460,277.8049,16303.002,-8,"Federal","5yrave","omni-directional_wave_power_460",29970.44779,c(33.2505, -119.751)
"462",461,691.9564,31869.371,-8,"Federal","5yrave","omni-directional_wave_power_461",34070.09418,c(33.2546, -119.92)
"463",462,1134.2885,47297.56,-8,"Federal","5yrave","omni-directional_wave_power_462",35492.80124,c(33.2553, -120.086)
"464",463,775.8486,62859.207,-8,"Federal","5yrave","omni-directional_wave_power_463",36355.73248,c(33.2517, -120.253)
