"","site_number_jupyter","water_depth","distance_to_shore","timezone","jurisdiction","year","site_number","watts","geometry"
"53",52,42.4098,6556.813,-8,"Federal","5yrave","omni-directional_wave_power_52",33829.83855,c(40.5881, -124.427)
"54",53,154.8743,18514.086,-8,"Federal","5yrave","omni-directional_wave_power_53",40369.33761,c(40.5831, -124.585)
"55",54,1181.9579,30999.1,-8,"Federal","5yrave","omni-directional_wave_power_54",42411.84513,c(40.5762, -124.744)
"56",55,2642.489,46306.484,-8,"Federal","5yrave","omni-directional_wave_power_55",44442.02907,c(40.5901, -124.925)
"57",56,2670.8914,59831.125,-8,"Federal","5yrave","omni-directional_wave_power_56",45700.888,c(40.5873, -125.094)
"58",57,35.2198,3237.8413,-8,"California","5yrave","omni-directional_wave_power_57",37218.1665,c(40.4121, -124.439)
"59",58,168.9499,14688.055,-8,"Federal","5yrave","omni-directional_wave_power_58",40241.75272,c(40.4153, -124.586)
"60",59,1805.305,28179.08,-8,"Federal","5yrave","omni-directional_wave_power_59",42600.9653,c(40.4133, -124.746)
"61",60,2385.3184,43126.586,-8,"Federal","5yrave","omni-directional_wave_power_60",44497.75655,c(40.4169, -124.923)
"62",61,2419.194,56995.473,-8,"Federal","5yrave","omni-directional_wave_power_61",45664.23239,c(40.4244, -125.087)
"63",62,31.7175,1592.3036,-8,"California","5yrave","omni-directional_wave_power_62",26488.17834,c(40.1912, -124.3)
"64",63,88.5351,5133.6284,-8,"California","5yrave","omni-directional_wave_power_63",40292.64709,c(40.2473, -124.421)
"65",64,328.1485,18796.787,-8,"Federal","5yrave","omni-directional_wave_power_64",41083.29041,c(40.2487, -124.584)
"66",65,574.5285,33608.77,-8,"Federal","5yrave","omni-directional_wave_power_65",43026.72149,c(40.2577, -124.759)
"67",66,899.3773,47635.934,-8,"Federal","5yrave","omni-directional_wave_power_66",44716.06811,c(40.2416, -124.923)
"68",67,1142.8221,59677.38,-8,"Federal","5yrave","omni-directional_wave_power_67",45711.75451,c(40.2512, -125.074)
"69",68,33.9539,3522.918,-8,"California","5yrave","omni-directional_wave_power_68",25024.19719,c(40.0505, -124.121)
"70",69,150.162,7979.2734,-8,"Federal","5yrave","omni-directional_wave_power_69",32900.46132,c(40.0807, -124.255)
"71",70,661.7974,17286.021,-8,"Federal","5yrave","omni-directional_wave_power_70",39292.02823,c(40.0825, -124.418)
"72",71,853.074,27153.172,-8,"Federal","5yrave","omni-directional_wave_power_71",41643.98951,c(40.0839, -124.586)
"73",72,1042.5806,38569.883,-8,"Federal","5yrave","omni-directional_wave_power_72",43370.63501,c(40.0784, -124.749)
"74",73,1244.4318,51764.426,-8,"Federal","5yrave","omni-directional_wave_power_73",45011.42685,c(40.0742, -124.92)
"75",74,1397.3251,65415.695,-8,"Federal","5yrave","omni-directional_wave_power_74",46029.59477,c(40.0819, -125.095)
"76",75,2910.2698,91893.55,-8,"Federal","5yrave","omni-directional_wave_power_75",47033.1877,c(40.7551, -125.426)
"77",76,2088.3413,87170.195,-8,"Federal","5yrave","omni-directional_wave_power_76",46917.30718,c(40.2575, -125.414)
"78",77,42.9532,3145.237,-8,"California","5yrave","omni-directional_wave_power_77",21125.61173,c(39.8822, -123.957)
"79",78,58.633,9916.34,-8,"Federal","5yrave","omni-directional_wave_power_78",30904.43205,c(39.9145, -124.084)
"80",79,976.2606,19183.12,-8,"Federal","5yrave","omni-directional_wave_power_79",37127.5354,c(39.916, -124.25)
"81",80,1413.2336,30311.299,-8,"Federal","5yrave","omni-directional_wave_power_80",40081.65086,c(39.9202, -124.414)
"82",81,1191.2645,40474.35,-8,"Federal","5yrave","omni-directional_wave_power_81",42163.77886,c(39.916, -124.582)
"83",82,1260.9937,50293.312,-8,"Federal","5yrave","omni-directional_wave_power_82",43842.56312,c(39.9149, -124.749)
"84",83,21.8378,1310.247,-8,"California","5yrave","omni-directional_wave_power_83",21673.44281,c(39.6913, -123.815)
"85",84,125.0948,6983.3022,-8,"Federal","5yrave","omni-directional_wave_power_84",29948.78935,c(39.7476, -123.92)
"86",85,479.28,19768.38,-8,"Federal","5yrave","omni-directional_wave_power_85",35494.90634,c(39.7488, -124.085)
"87",86,1452.0574,32177.16,-8,"Federal","5yrave","omni-directional_wave_power_86",38510.85173,c(39.7468, -124.254)
"88",87,1989.1464,42834.49,-8,"Federal","5yrave","omni-directional_wave_power_87",40855.50434,c(39.7401, -124.414)
